territori,tipus_de_territori,anys,preu_mitja_lloguer
sant antoni,barri,2003,NA
sant antoni,barri,2004,NA
sant antoni,barri,2005,NA
sant antoni,barri,2006,NA
sant antoni,barri,2007,NA
sant antoni,barri,2008,NA
sant antoni,barri,2009,NA
sant antoni,barri,2010,NA
sant antoni,barri,2011,NA
sant antoni,barri,2012,NA
sant antoni,barri,2013,NA
sant antoni,barri,2014,711.3695708
sant antoni,barri,2015,765.609
sant antoni,barri,2016,842.473
sant antoni,barri,2017,900.4813694
sant antoni,barri,2018,934.3432606
sant antoni,barri,2019,994.909158
sant antoni,barri,2020,971.881679
sant antoni,barri,2021,928.4860035
sant antoni,barri,2022,1037.984702
sant antoni,barri,2023,1134.063853
sants-montjuic,districte,2000,336.5556242
sants-montjuic,districte,2001,381.9285679
sants-montjuic,districte,2002,437.037606
sants-montjuic,districte,2003,453.7414029
sants-montjuic,districte,2004,498.7942644
sants-montjuic,districte,2005,558.7279837
sants-montjuic,districte,2006,620.9256029
sants-montjuic,districte,2007,668.8480967
sants-montjuic,districte,2008,725.9387002
sants-montjuic,districte,2009,698.8613803
sants-montjuic,districte,2010,671.9083611
sants-montjuic,districte,2011,671.5988551
sants-montjuic,districte,2012,633.0762936
sants-montjuic,districte,2013,596.4172655
sants-montjuic,districte,2014,598.4327104
sants-montjuic,districte,2015,624.5228
sants-montjuic,districte,2016,678.780231
sants-montjuic,districte,2017,763.1678844
sants-montjuic,districte,2018,803.7375108
sants-montjuic,districte,2019,841.4944747
sants-montjuic,districte,2020,846.8780755
sants-montjuic,districte,2021,799.6923035
sants-montjuic,districte,2022,916.8617731
sants-montjuic,districte,2023,1032.204309
el poble-sec,barri,2000,NA
el poble-sec,barri,2001,NA
el poble-sec,barri,2002,NA
el poble-sec,barri,2003,NA
el poble-sec,barri,2004,NA
el poble-sec,barri,2005,NA
el poble-sec,barri,2006,NA
el poble-sec,barri,2007,NA
el poble-sec,barri,2008,NA
el poble-sec,barri,2009,NA
el poble-sec,barri,2010,NA
el poble-sec,barri,2011,NA
el poble-sec,barri,2012,NA
el poble-sec,barri,2013,NA
el poble-sec,barri,2014,582.6003697
el poble-sec,barri,2015,612.1455
el poble-sec,barri,2016,669.5252087
el poble-sec,barri,2017,749.5214781
el poble-sec,barri,2018,801.8129436
el poble-sec,barri,2019,837.0538048
el poble-sec,barri,2020,827.429774
el poble-sec,barri,2021,780.1149601
el poble-sec,barri,2022,881.2877731
el poble-sec,barri,2023,937.2811124
la marina del prat vermell,barri,2000,NA
la marina del prat vermell,barri,2001,NA
la marina del prat vermell,barri,2002,NA
la marina del prat vermell,barri,2003,NA
la marina del prat vermell,barri,2004,NA
la marina del prat vermell,barri,2005,NA
la marina del prat vermell,barri,2006,NA
la marina del prat vermell,barri,2007,NA
la marina del prat vermell,barri,2008,NA
la marina del prat vermell,barri,2009,NA
la marina del prat vermell,barri,2010,NA
la marina del prat vermell,barri,2011,NA
la marina del prat vermell,barri,2012,NA
la marina del prat vermell,barri,2013,NA
la marina del prat vermell,barri,2014,450
la marina del prat vermell,barri,2015,404.7119
la marina del prat vermell,barri,2016,356.563
la marina del prat vermell,barri,2017,NA
la marina del prat vermell,barri,2018,NA
la marina del prat vermell,barri,2019,374.3496825
la marina del prat vermell,barri,2020,NA
la marina del prat vermell,barri,2021,430.5857143
la marina del prat vermell,barri,2022,1456.6
la marina del prat vermell,barri,2023,1451.075269
la marina de port,barri,2000,NA
la marina de port,barri,2001,NA
la marina de port,barri,2002,NA
la marina de port,barri,2003,NA
la marina de port,barri,2004,NA
la marina de port,barri,2005,NA
la marina de port,barri,2006,NA
la marina de port,barri,2007,NA
la marina de port,barri,2008,NA
la marina de port,barri,2009,NA
la marina de port,barri,2010,NA
la marina de port,barri,2011,NA
la marina de port,barri,2012,NA
la marina de port,barri,2013,NA
la marina de port,barri,2014,527.2791837
la marina de port,barri,2015,542.2658
la marina de port,barri,2016,544.3789211
la marina de port,barri,2017,691.4249254
la marina de port,barri,2018,751.0589417
la marina de port,barri,2019,766.2527007
la marina de port,barri,2020,787.0947003
la marina de port,barri,2021,743.1476059
la marina de port,barri,2022,723.7744598
la marina de port,barri,2023,885.1381126
la font de la guatlla,barri,2000,NA
la font de la guatlla,barri,2001,NA
la font de la guatlla,barri,2002,NA
la font de la guatlla,barri,2003,NA
la font de la guatlla,barri,2004,NA
la font de la guatlla,barri,2005,NA
la font de la guatlla,barri,2006,NA
la font de la guatlla,barri,2007,NA
la font de la guatlla,barri,2008,NA
la font de la guatlla,barri,2009,NA
la font de la guatlla,barri,2010,NA
la font de la guatlla,barri,2011,NA
la font de la guatlla,barri,2012,NA
la font de la guatlla,barri,2013,NA
la font de la guatlla,barri,2014,644.6410646
la font de la guatlla,barri,2015,695.1985
la font de la guatlla,barri,2016,737.1529278
la font de la guatlla,barri,2017,811.0759567
la font de la guatlla,barri,2018,839.7083836
la font de la guatlla,barri,2019,865.921
la font de la guatlla,barri,2020,859.2797071
la font de la guatlla,barri,2021,826.7082965
la font de la guatlla,barri,2022,928.1630515
la font de la guatlla,barri,2023,1047.20042
hostafrancs,barri,2000,NA
hostafrancs,barri,2001,NA
hostafrancs,barri,2002,NA
hostafrancs,barri,2003,NA
hostafrancs,barri,2004,NA
hostafrancs,barri,2005,NA
hostafrancs,barri,2006,NA
hostafrancs,barri,2007,NA
hostafrancs,barri,2008,NA
hostafrancs,barri,2009,NA
hostafrancs,barri,2010,NA
hostafrancs,barri,2011,NA
hostafrancs,barri,2012,NA
hostafrancs,barri,2013,NA
hostafrancs,barri,2014,593.9064417
hostafrancs,barri,2015,624.6484
hostafrancs,barri,2016,687.8516322
hostafrancs,barri,2017,747.0873145
hostafrancs,barri,2018,796.2705108
hostafrancs,barri,2019,830.5591379
hostafrancs,barri,2020,852.267088
hostafrancs,barri,2021,789.7829495
hostafrancs,barri,2022,879.9778834
hostafrancs,barri,2023,967.8624079
la bordeta,barri,2000,NA
la bordeta,barri,2001,NA
la bordeta,barri,2002,NA
la bordeta,barri,2003,NA
la bordeta,barri,2004,NA
la bordeta,barri,2005,NA
la bordeta,barri,2006,NA
la bordeta,barri,2007,NA
la bordeta,barri,2008,NA
la bordeta,barri,2009,NA
la bordeta,barri,2010,NA
la bordeta,barri,2011,NA
la bordeta,barri,2012,NA
la bordeta,barri,2013,NA
la bordeta,barri,2014,611.3691129
la bordeta,barri,2015,638.4582
la bordeta,barri,2016,678.8623881
la bordeta,barri,2017,789.9802619
la bordeta,barri,2018,801.4443111
la bordeta,barri,2019,851.220557
la bordeta,barri,2020,861.7976235
la bordeta,barri,2021,832.3493125
la bordeta,barri,2022,1124.517547
la bordeta,barri,2023,1326.180982
sants-badal,barri,2000,NA
sants-badal,barri,2001,NA
sants-badal,barri,2002,NA
sants-badal,barri,2003,NA
sants-badal,barri,2004,NA
sants-badal,barri,2005,NA
sants-badal,barri,2006,NA
sants-badal,barri,2007,NA
sants-badal,barri,2008,NA
sants-badal,barri,2009,NA
sants-badal,barri,2010,NA
sants-badal,barri,2011,NA
sants-badal,barri,2012,NA
sants-badal,barri,2013,NA
sants-badal,barri,2014,597.2822823
sants-badal,barri,2015,626.5668
sants-badal,barri,2016,691.1666995
sants-badal,barri,2017,759.1847005
sants-badal,barri,2018,784.5440333
sants-badal,barri,2019,851.5844048
sants-badal,barri,2020,845.3940351
sants-badal,barri,2021,793.2803737
sants-badal,barri,2022,881.058759
sants-badal,barri,2023,981.5000994
sants,barri,2000,NA
sants,barri,2001,NA
sants,barri,2002,NA
sants,barri,2003,NA
sants,barri,2004,NA
sants,barri,2005,NA
sants,barri,2006,NA
sants,barri,2007,NA
sants,barri,2008,NA
sants,barri,2009,NA
sants,barri,2010,NA
sants,barri,2011,NA
sants,barri,2012,NA
sants,barri,2013,NA
sants,barri,2014,624.1176341
sants,barri,2015,653.3033
sants,barri,2016,711.3225299
sants,barri,2017,787.22797
sants,barri,2018,826.177
sants,barri,2019,877.7885152
sants,barri,2020,874.4671679
sants,barri,2021,828.9928996
sants,barri,2022,906.8922894
sants,barri,2023,1006.75517
les corts,districte,2000,567.7321352
les corts,districte,2001,627.004134
les corts,districte,2002,621.4756298
les corts,districte,2003,667.7120922
les corts,districte,2004,705.0817302
les corts,districte,2005,742.427019
les corts,districte,2006,829.1531525
les corts,districte,2007,955.4292463
les corts,districte,2008,990.5826176
les corts,districte,2009,933.7197145
les corts,districte,2010,908.9365423
les corts,districte,2011,891.4545337
les corts,districte,2012,867.3554136
les corts,districte,2013,826.7089697
les corts,districte,2014,853.0015559
les corts,districte,2015,925.4458
les corts,districte,2016,985.9395994
les corts,districte,2017,1052.297996
les corts,districte,2018,1089.526003
les corts,districte,2019,1156.951335
les corts,districte,2020,1112.496379
les corts,districte,2021,1054.137123
les corts,districte,2022,1185.708401
les corts,districte,2023,1294.199545
les corts,barri,2000,NA
les corts,barri,2001,NA
les corts,barri,2002,NA
les corts,barri,2003,NA
les corts,barri,2004,NA
les corts,barri,2005,NA
les corts,barri,2006,NA
les corts,barri,2007,NA
les corts,barri,2008,NA
les corts,barri,2009,NA
les corts,barri,2010,NA
les corts,barri,2011,NA
les corts,barri,2012,NA
les corts,barri,2013,NA
les corts,barri,2014,782.8847779
les corts,barri,2015,856.3435
les corts,barri,2016,939.0963751
les corts,barri,2017,1002.470491
les corts,barri,2018,1039.612214
les corts,barri,2019,1097.238544
les corts,barri,2020,1060.712106
les corts,barri,2021,1015.002961
les corts,barri,2022,1129.450824
les corts,barri,2023,1215.762937
la maternitat i sant ramon,barri,2000,NA
la maternitat i sant ramon,barri,2001,NA
la maternitat i sant ramon,barri,2002,NA
la maternitat i sant ramon,barri,2003,NA
la maternitat i sant ramon,barri,2004,NA
la maternitat i sant ramon,barri,2005,NA
la maternitat i sant ramon,barri,2006,NA
la maternitat i sant ramon,barri,2007,NA
la maternitat i sant ramon,barri,2008,NA
la maternitat i sant ramon,barri,2009,NA
la maternitat i sant ramon,barri,2010,NA
la maternitat i sant ramon,barri,2011,NA
la maternitat i sant ramon,barri,2012,NA
la maternitat i sant ramon,barri,2013,NA
la maternitat i sant ramon,barri,2014,760.2579641
la maternitat i sant ramon,barri,2015,756.616
la maternitat i sant ramon,barri,2016,847.8822587
la maternitat i sant ramon,barri,2017,925.155915
la maternitat i sant ramon,barri,2018,973.5521076
la maternitat i sant ramon,barri,2019,1009.208909
la maternitat i sant ramon,barri,2020,992.6912618
la maternitat i sant ramon,barri,2021,935.9274966
la maternitat i sant ramon,barri,2022,1068.721273
la maternitat i sant ramon,barri,2023,1190.126909
pedralbes,barri,2000,NA
pedralbes,barri,2001,NA
pedralbes,barri,2002,NA
pedralbes,barri,2003,NA
pedralbes,barri,2004,NA
pedralbes,barri,2005,NA
pedralbes,barri,2006,NA
pedralbes,barri,2007,NA
pedralbes,barri,2008,NA
pedralbes,barri,2009,NA
pedralbes,barri,2010,NA
pedralbes,barri,2011,NA
pedralbes,barri,2012,NA
pedralbes,barri,2013,NA
pedralbes,barri,2014,1473.833869
pedralbes,barri,2015,1729.9507
pedralbes,barri,2016,1661.826455
pedralbes,barri,2017,1785.628316
pedralbes,barri,2018,1739.595708
pedralbes,barri,2019,1860.55898
pedralbes,barri,2020,1718.2406
pedralbes,barri,2021,1699.087489
pedralbes,barri,2022,1813.899694
pedralbes,barri,2023,1952.002827
sarria-sant gervasi,districte,2000,631.1879851
sarria-sant gervasi,districte,2001,659.9213285
sarria-sant gervasi,districte,2002,742.9375494
sarria-sant gervasi,districte,2003,762.153759
sarria-sant gervasi,districte,2004,823.762259
sarria-sant gervasi,districte,2005,863.5708228
sarria-sant gervasi,districte,2006,917.6613176
sarria-sant gervasi,districte,2007,1014.244848
sarria-sant gervasi,districte,2008,1081.906972
sarria-sant gervasi,districte,2009,1029.299876
sarria-sant gervasi,districte,2010,998.6143325
sarria-sant gervasi,districte,2011,1017.114365
sarria-sant gervasi,districte,2012,984.4358269
sarria-sant gervasi,districte,2013,935.4735354
sarria-sant gervasi,districte,2014,978.0216076
sarria-sant gervasi,districte,2015,1051.2329
sarria-sant gervasi,districte,2016,1144.714707
sarria-sant gervasi,districte,2017,1227.892905
sarria-sant gervasi,districte,2018,1268.915012
sarria-sant gervasi,districte,2019,1316.56562
sarria-sant gervasi,districte,2020,1305.726906
sarria-sant gervasi,districte,2021,1246.395989
sarria-sant gervasi,districte,2022,1384.060165
sarria-sant gervasi,districte,2023,1550.788164
"vallvidrera, el tibidabo i les planes",barri,2000,NA
"vallvidrera, el tibidabo i les planes",barri,2001,NA
"vallvidrera, el tibidabo i les planes",barri,2002,NA
"vallvidrera, el tibidabo i les planes",barri,2003,NA
"vallvidrera, el tibidabo i les planes",barri,2004,NA
"vallvidrera, el tibidabo i les planes",barri,2005,NA
"vallvidrera, el tibidabo i les planes",barri,2006,NA
"vallvidrera, el tibidabo i les planes",barri,2007,NA
"vallvidrera, el tibidabo i les planes",barri,2008,NA
"vallvidrera, el tibidabo i les planes",barri,2009,NA
"vallvidrera, el tibidabo i les planes",barri,2010,NA
"vallvidrera, el tibidabo i les planes",barri,2011,NA
"vallvidrera, el tibidabo i les planes",barri,2012,NA
"vallvidrera, el tibidabo i les planes",barri,2013,NA
"vallvidrera, el tibidabo i les planes",barri,2014,1134.251136
"vallvidrera, el tibidabo i les planes",barri,2015,1006.5333
"vallvidrera, el tibidabo i les planes",barri,2016,1153.380758
"vallvidrera, el tibidabo i les planes",barri,2017,1220
"vallvidrera, el tibidabo i les planes",barri,2018,937.5477083
"vallvidrera, el tibidabo i les planes",barri,2019,1205.654935
"vallvidrera, el tibidabo i les planes",barri,2020,1233.074627
"vallvidrera, el tibidabo i les planes",barri,2021,1236.958429
"vallvidrera, el tibidabo i les planes",barri,2022,1107.019886
"vallvidrera, el tibidabo i les planes",barri,2023,1255.935484
sarria,barri,2000,NA
sarria,barri,2001,NA
sarria,barri,2002,NA
