territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
el barri gotic,barri,2020,47.53467793,34.19241054,33.99004478
el barri gotic,barri,2021,47.38679603,34.43107684,34.3700836
el barri gotic,barri,2022,46.96887518,35.01296534,34.78218759
el barri gotic,barri,2023,46.20444888,35.08576395,34.7692851
la barceloneta,barri,1997,46.57091596,45.96319549,30.50677927
la barceloneta,barri,1998,46.52284096,40.64677357,30.71670434
la barceloneta,barri,1999,46.67538786,37.81848839,30.53830267
la barceloneta,barri,2000,46.96451284,35.32870179,30.55689808
la barceloneta,barri,2001,47.04484078,34.97896834,30.58247543
la barceloneta,barri,2002,47.23949466,34.21928313,30.30211486
la barceloneta,barri,2003,47.66722323,33.52962873,30.37162628
la barceloneta,barri,2004,47.9034919,34.23922692,30.43506347
la barceloneta,barri,2005,48.38086705,33.58521987,31.10572577
la barceloneta,barri,2006,48.53501047,32.41754103,31.64541267
la barceloneta,barri,2007,48.55013427,32.60832043,31.18916558
la barceloneta,barri,2008,48.40982583,33.07421259,31.35629982
la barceloneta,barri,2009,48.28182775,33.18325159,31.65591382
la barceloneta,barri,2010,48.1382903,33.28068302,32.10629788
la barceloneta,barri,2011,48.18592414,32.99775982,31.94991803
la barceloneta,barri,2012,48.33457815,33.31226702,32.54957517
la barceloneta,barri,2013,48.49723469,33.72358132,32.9160943
la barceloneta,barri,2014,48.43901836,34.30617066,33.15644475
la barceloneta,barri,2015,48.6486997,34.24120992,33.41130846
la barceloneta,barri,2016,48.39582258,33.69695459,34.23506391
la barceloneta,barri,2017,48.65894748,33.45266503,34.08176757
la barceloneta,barri,2018,48.56953642,33.42873511,34.42400544
la barceloneta,barri,2019,48.84075797,33.71511077,34.63424131
la barceloneta,barri,2020,48.96416081,33.9685715,34.27035366
la barceloneta,barri,2021,49.17357229,34.27919678,34.78241414
la barceloneta,barri,2022,49.36811102,35.12975653,35.44738115
la barceloneta,barri,2023,49.41923738,34.74352929,35.45533972
"sant pere, santa caterina i la ribera",barri,1997,47.9615114,36.86635945,30.86838275
"sant pere, santa caterina i la ribera",barri,1998,47.85652463,35.76967948,31.26173491
"sant pere, santa caterina i la ribera",barri,1999,48.01473249,34.94258215,31.28461204
"sant pere, santa caterina i la ribera",barri,2000,48.02419558,35.23758739,31.29122826
"sant pere, santa caterina i la ribera",barri,2001,48.15353024,35.04182005,30.44904851
"sant pere, santa caterina i la ribera",barri,2002,48.048427,34.35821743,30.51494133
"sant pere, santa caterina i la ribera",barri,2003,47.89436807,33.72192804,30.6998448
"sant pere, santa caterina i la ribera",barri,2004,47.81341417,33.73934509,30.82100923
"sant pere, santa caterina i la ribera",barri,2005,47.83643554,33.47755875,31.11706648
"sant pere, santa caterina i la ribera",barri,2006,47.73774383,33.05799392,31.20452717
