territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
hostafrancs,barri,1999,2183,5,18,3361,10,80,2352,6,29,2462,21,74,1543,24,67
hostafrancs,barri,2000,2076,5,19,3301,11,77,2286,10,42,2489,21,96,1574,27,86
hostafrancs,barri,2001,1941,NA,12,3230,11,176,2239,10,105,2443,24,130,1565,41,130
hostafrancs,barri,2002,1760,6,27,2783,9,294,2539,20,212,2804,46,250,1752,49,182
hostafrancs,barri,2003,1653,5,25,2693,16,595,2575,21,323,2789,52,328,1795,72,276
hostafrancs,barri,2004,1534,5,33,2630,33,688,2560,20,329,2770,67,354,1857,108,348
hostafrancs,barri,2005,1440,NA,46,2525,47,817,2521,28,324,2709,88,360,1900,141,389
hostafrancs,barri,2006,1335,NA,61,2514,55,990,2520,41,370,2707,89,369,2003,175,401
hostafrancs,barri,2007,1255,7,48,2442,125,903,2528,63,301,2693,141,332,2061,232,305
hostafrancs,barri,2008,1200,7,56,2396,152,942,2534,89,377,2690,181,345,2102,291,358
hostafrancs,barri,2009,1115,11,61,2291,145,978,2569,96,435,2639,188,364,2174,304,408
hostafrancs,barri,2010,1045,12,59,2199,122,921,2644,81,441,2664,172,372,2283,326,410
hostafrancs,barri,2011,983,8,60,2152,103,902,2612,77,439,2680,153,343,2404,296,440
hostafrancs,barri,2012,888,NA,76,2077,94,973,2652,89,471,2825,174,386,2506,324,515
hostafrancs,barri,2013,813,6,70,2067,83,906,2581,92,486,2841,164,431,2583,353,492
hostafrancs,barri,2014,763,7,62,1981,73,784,2564,95,443,2807,198,406,2647,401,458
hostafrancs,barri,2015,715,8,50,1955,80,729,2610,101,424,2828,209,316,2822,428,492
hostafrancs,barri,2016,397,NA,9,2228,76,752,2553,87,422,2824,215,338,2944,477,565
hostafrancs,barri,2017,353,NA,5,2099,60,685,2526,88,490,2800,218,361,2986,542,659
hostafrancs,barri,2018,312,NA,10,2015,56,646,2481,97,521,2728,229,391,3063,598,748
hostafrancs,barri,2019,282,NA,12,1900,52,596,2427,110,591,2709,246,472,3115,696,813
hostafrancs,barri,2020,260,NA,13,1817,51,579,2433,125,623,2647,262,501,3200,749,847
hostafrancs,barri,2021,235,NA,12,1736,40,577,2424,108,649,2635,258,541,3201,727,932
hostafrancs,barri,2022,203,NA,11,1659,37,529,2384,115,614,2638,276,589,3218,741,907
hostafrancs,barri,2023,171,NA,9,1584,42,514,2366,125,679,2588,245,642,3341,725,934
la bordeta,barri,1997,2185,NA,23,4305,NA,31,2963,7,19,3072,11,48,1517,11,33
la bordeta,barri,1998,2129,NA,21,4356,NA,50,3032,7,24,3115,13,58,1520,11,40
la bordeta,barri,1999,2039,NA,26,4378,NA,63,3041,8,26,3115,17,57,1502,13,46
la bordeta,barri,2000,1951,NA,20,4341,NA,82,3074,8,28,3170,19,79,1530,17,51
la bordeta,barri,2001,1869,NA,22,4296,NA,142,3136,8,113,3160,19,144,1565,22,97
la bordeta,barri,2002,1741,NA,29,3717,NA,249,3546,14,178,3803,27,230,1781,26,142
la bordeta,barri,2003,1666,NA,27,3601,12,389,3606,16,238,3787,43,278,1821,48,212
la bordeta,barri,2004,1601,NA,39,3568,16,565,3574,18,284,3652,54,293,1895,62,255
la bordeta,barri,2005,1541,NA,55,3454,22,646,3553,22,303,3575,62,308,1944,79,258
la bordeta,barri,2006,1497,NA,75,3356,40,760,3499,34,337,3484,70,323,2022,97,286
la bordeta,barri,2007,1427,NA,44,3277,83,730,3479,52,288,3457,101,285,2126,128,248
la bordeta,barri,2008,1447,NA,36,3187,110,778,3504,55,308,3403,115,324,2189,158,265
la bordeta,barri,2009,1359,NA,30,3067,103,793,3548,74,351,3423,111,306,2254,176,311
la bordeta,barri,2010,1265,NA,43,2964,80,715,3594,74,356,3501,117,299,2300,211,306
la bordeta,barri,2011,1171,NA,40,2913,63,707,3597,58,376,3521,101,306,2407,196,310
la bordeta,barri,2012,1067,NA,40,2847,59,697,3660,50,377,3742,98,333,2553,202,380
la bordeta,barri,2013,999,NA,35,2810,62,623,3666,58,380,3785,116,333,2626,237,382
la bordeta,barri,2014,952,NA,29,2777,52,581,3649,66,383,3736,120,321,2716,234,353
la bordeta,barri,2015,911,NA,31,2760,45,498,3669,64,315,3792,122,291,2863,230,324
la bordeta,barri,2016,568,NA,10,3055,47,513,3620,58,323,3766,121,310,2985,246,365
la bordeta,barri,2017,516,NA,8,2927,41,485,3633,61,371,3775,124,357,3040,272,412
la bordeta,barri,2018,477,NA,10,2898,36,460,3644,65,433,3814,133,351,3212,312,408
la bordeta,barri,2019,422,NA,15,2806,40,491,3588,76,530,3834,150,415,3473,357,494
la bordeta,barri,2020,389,NA,12,2708,39,476,3603,90,575,3817,159,416,3613,389,547
la bordeta,barri,2021,339,NA,12,2591,31,453,3547,93,547,3816,171,451,3697,386,612
la bordeta,barri,2022,297,NA,10,2542,29,410,3492,87,511,3858,176,446,3813,396,561
la bordeta,barri,2023,269,NA,18,2439,32,420,3446,89,581,3821,180,539,3911,447,809
sants-badal,barri,1997,3631,NA,20,5869,5,49,3916,7,23,3914,14,53,2244,19,40
sants-badal,barri,1998,3509,NA,18,5840,5,68,3919,8,33,3947,16,80,2293,29,52
sants-badal,barri,1999,3346,NA,20,5772,7,91,3950,11,44,3945,22,91,2321,32,57
sants-badal,barri,2000,3169,NA,22,5626,7,122,3864,12,70,3906,24,126,2317,33,94
sants-badal,barri,2001,2970,NA,30,5524,8,222,3817,16,179,3830,32,253,2293,40,167
sants-badal,barri,2002,2810,NA,48,4944,7,348,4122,18,327,4666,49,466,2540,52,248
sants-badal,barri,2003,2656,NA,39,4778,14,617,4124,22,408,4635,65,536,2606,77,358
sants-badal,barri,2004,2492,NA,49,4656,22,830,4049,24,406,4467,73,572,2648,107,412
sants-badal,barri,2005,2375,NA,64,4572,27,956,4044,26,425,4300,95,592,2721,125,449
sants-badal,barri,2006,2253,NA,71,4452,36,1178,4079,39,461,4253,98,605,2849,158,481
sants-badal,barri,2007,2130,5,64,4307,121,1134,4010,64,406,4144,157,501,2935,214,380
sants-badal,barri,2008,2095,7,47,4194,138,1152,4035,88,521,4084,188,520,3029,248,440
sants-badal,barri,2009,1973,8,67,4022,133,1130,4071,108,577,4021,190,506,3133,296,517
sants-badal,barri,2010,1805,5,65,3935,116,1099,4166,110,606,4127,198,512,3326,296,517
sants-badal,barri,2011,1683,NA,62,3853,111,1148,4159,94,649,4218,188,503,3509,250,543
sants-badal,barri,2012,1558,NA,67,3778,110,1178,4239,92,713,4423,197,577,3661,281,637
sants-badal,barri,2013,1478,NA,54,3697,98,1047,4231,102,685,4411,195,575,3744,289,650
sants-badal,barri,2014,1412,NA,44,3634,96,920,4262,98,668,4409,192,565,3787,289,653
sants-badal,barri,2015,1339,6,42,3664,82,801,4289,95,629,4457,183,500,3957,292,606
sants-badal,barri,2016,801,NA,10,4098,73,799,4205,91,612,4422,191,566,4037,344,633
sants-badal,barri,2017,733,NA,9,3959,64,720,4207,97,730,4409,186,604,4133,391,754
sants-badal,barri,2018,651,NA,12,3781,53,670,4217,84,766,4368,204,615,4252,444,845
sants-badal,barri,2019,587,NA,13,3621,52,670,4136,101,865,4376,228,710,4436,493,954
sants-badal,barri,2020,527,NA,11,3479,57,684,4165,115,988,4382,239,868,4567,554,1082
sants-badal,barri,2021,463,NA,12,3379,56,663,4094,116,1007,4465,228,929,4691,532,1105
sants-badal,barri,2022,404,NA,6,3279,55,567,4012,125,954,4453,219,892,4664,541,1037
sants-badal,barri,2023,364,NA,11,3158,46,573,3982,105,1002,4326,207,1065,4855,523,1139
sants,barri,1997,5537,5,30,9041,16,79,6191,10,39,6895,30,89,4844,38,84
sants,barri,1998,5293,5,38,8965,23,128,6202,16,54,6922,33,123,4922,48,94
sants,barri,1999,5003,5,40,8700,25,138,6196,16,64,6949,38,159,4925,51,111
sants,barri,2000,4731,5,39,8553,26,188,6095,17,87,6861,48,221,4936,70,151
sants,barri,2001,4431,5,34,8408,24,331,6048,21,249,6768,66,360,5008,86,259
sants,barri,2002,4111,5,59,7377,30,645,6502,27,477,7961,89,609,5286,120,387
sants,barri,2003,3907,5,55,7083,42,1141,6500,33,588,7884,110,722,5459,189,536
sants,barri,2004,3618,5,81,6802,61,1459,6408,37,631,7671,134,747,5545,239,628
sants,barri,2005,3412,5,122,6610,79,1699,6365,54,728,7467,162,815,5719,295,674
sants,barri,2006,3165,NA,157,6470,101,1960,6413,83,789,7347,182,858,5927,344,756
sants,barri,2007,2979,17,120,6223,204,1818,6320,123,696,7267,263,744,6137,484,727
sants,barri,2008,2899,16,124,6043,267,2170,6338,198,947,7228,364,908,6317,592,870
sants,barri,2009,2733,12,162,5766,279,2565,6465,236,1144,7228,406,995,6510,709,1051
sants,barri,2010,2520,7,177,5557,280,2399,6570,232,1200,7333,418,997,6837,752,1004
sants,barri,2011,2332,9,167,5375,212,2305,6518,216,1160,7453,393,1015,7237,715,1081
sants,barri,2012,2118,11,147,5268,184,2034,6592,214,1088,7820,394,960,7649,753,1117
sants,barri,2013,1953,10,118,5115,173,1660,6525,209,1043,7803,414,933,7872,830,1113
sants,barri,2014,1839,11,101,5005,155,1482,6494,195,1029,7863,408,917,8183,853,1056
sants,barri,2015,1721,8,98,4938,146,1287,6551,181,934,7904,365,797,8527,909,1027
sants,barri,2016,1085,NA,9,5385,140,1338,6387,183,904,7885,366,813,8891,945,1123
sants,barri,2017,986,NA,6,5119,131,1152,6427,218,1029,7903,390,895,9095,1054,1300
sants,barri,2018,888,NA,10,4873,127,1123,6454,230,1131,7754,394,969,9339,1109,1427
sants,barri,2019,799,5,14,4699,153,1314,6278,249,1399,7644,427,1182,9487,1291,1647
sants,barri,2020,708,7,31,4483,170,1572,6404,259,1893,7634,459,1510,9662,1372,1890
sants,barri,2021,613,8,30,4314,167,1562,6284,260,1976,7634,452,1636,9764,1337,2028
sants,barri,2022,528,7,24,4194,176,1366,6245,292,1848,7608,465,1630,9871,1375,1938
sants,barri,2023,453,8,30,4055,136,1442,6335,288,2211,7428,462,2093,10193,1365,2334
les corts,districte,1997,5997,13,34,13254,51,118,10665,62,59,17879,210,229,18491,280,250
les corts,districte,1998,5773,12,37,13190,52,140,10697,64,70,18096,229,276,18737,317,324
les corts,districte,1999,5549,12,39,13026,54,154,10584,68,74,17983,237,333,18815,368,369
les corts,districte,2000,5303,11,40,12797,54,175,10492,69,82,17878,261,398,18974,414,469
les corts,districte,2001,5024,10,39,12485,53,241,10250,71,165,17629,279,578,18918,461,668
les corts,districte,2002,4615,10,43,10461,52,322,10794,103,286,20771,408,907,19943,552,981
les corts,districte,2003,4429,9,48,10137,58,496,10851,121,435,20513,491,1178,19883,709,1592
les corts,districte,2004,4146,7,50,9843,65,624,10856,128,487,19626,538,1305,19933,859,1944
les corts,districte,2005,3970,7,51,9540,75,724,10866,146,591,18853,581,1448,19889,1017,2229
les corts,districte,2006,3794,5,50,9243,80,910,10854,157,650,18280,663,1529,20159,1097,2427
les corts,districte,2007,3607,8,40,8886,152,767,10814,217,645,17707,802,1222,20395,1283,1952
les corts,districte,2008,3673,10,50,8663,186,1059,10880,271,914,17313,833,1292,20594,1474,2170
les corts,districte,2009,3481,14,87,8237,175,1430,10929,293,1161,17037,885,1378,20842,1674,2442
les corts,districte,2010,3197,14,105,7877,137,1460,11003,279,1156,17252,794,1311,21434,1591,2323
les corts,districte,2011,2863,11,121,7588,117,1510,11026,232,1068,17479,718,1258,22072,1528,2382
les corts,districte,2012,2558,12,96,7350,127,1267,10850,238,1062,18599,705,1223,22864,1627,2496
les corts,districte,2013,2396,14,75,7127,128,1014,10778,233,972,18375,697,1148,23278,1678,2407
les corts,districte,2014,2280,18,57,6912,159,946,10752,218,927,18048,668,1111,23813,1660,2272
les corts,districte,2015,2145,13,48,6706,148,836,10725,208,793,18053,645,1060,24604,1614,2339
les corts,districte,2016,1345,NA,9,7400,166,849,10361,201,769,17879,644,1050,25086,1649,2442
les corts,districte,2017,1199,NA,7,7064,145,798,10264,209,851,17790,646,1171,25322,1756,2861
les corts,districte,2018,1092,NA,8,6704,149,781,10170,228,897,17423,616,1235,25802,1855,3047
les corts,districte,2019,977,NA,9,6373,155,813,9909,245,1000,16986,636,1379,26226,2041,3343
les corts,districte,2020,879,NA,11,6071,155,859,10083,260,1133,16772,687,1525,26383,2093,3509
les corts,districte,2021,771,NA,12,5873,156,816,9790,249,1210,16666,666,1626,26331,1915,3681
les corts,districte,2022,678,NA,13,5680,147,744,9580,259,1255,16675,687,1652,26518,2047,3418
les corts,districte,2023,610,NA,14,5461,127,770,9756,283,1425,16066,692,2016,26800,2207,4069
les corts,barri,1997,3464,7,13,7555,22,64,6306,33,39,10041,93,113,10208,123,119
les corts,barri,1998,3331,6,14,7489,23,81,6351,33,40,10213,105,141,10401,142,158
les corts,barri,1999,3196,6,14,7404,24,95,6276,35,42,10189,116,170,10480,173,176
les corts,barri,2000,3034,5,16,7254,27,101,6204,35,44,10091,123,205,10596,192,222
les corts,barri,2001,2876,NA,17,7066,28,137,6046,35,90,9990,135,316,10563,221,328
les corts,barri,2002,2640,NA,19,5899,29,182,6348,47,143,11835,185,491,11120,266,483
les corts,barri,2003,2510,NA,22,5693,30,283,6340,56,210,11684,220,660,11081,344,811
les corts,barri,2004,2334,NA,24,5519,32,343,6341,58,241,11144,268,737,11129,414,1032
les corts,barri,2005,2223,NA,29,5343,31,425,6359,72,302,10733,299,829,11143,501,1169
les corts,barri,2006,2120,NA,26,5218,39,539,6342,74,346,10477,347,857,11448,545,1310
les corts,barri,2007,2014,NA,21,5038,90,446,6322,103,358,10207,423,656,11585,649,1012
les corts,barri,2008,2046,6,35,4911,110,717,6344,145,581,10031,444,740,11764,773,1163
les corts,barri,2009,1948,8,69,4670,103,1082,6367,158,764,9836,469,801,11902,901,1320
les corts,barri,2010,1795,6,91,4467,76,1113,6410,158,782,9933,419,740,12230,839,1262
les corts,barri,2011,1609,5,103,4314,73,1150,6432,141,699,10045,384,697,12600,802,1283
les corts,barri,2012,1432,5,75,4161,77,906,6283,149,635,10770,384,670,13042,844,1313
les corts,barri,2013,1326,7,52,4038,78,673,6265,139,545,10627,378,606,13290,871,1246
les corts,barri,2014,1265,10,38,3909,105,637,6242,131,515,10433,365,585,13618,869,1178
les corts,barri,2015,1186,8,31,3796,87,546,6182,117,439,10393,346,553,14077,841,1214
les corts,barri,2016,752,NA,6,4138,98,538,5974,118,433,10283,341,513,14326,853,1277
les corts,barri,2017,655,NA,NA,3950,79,483,5900,115,464,10223,337,586,14523,908,1485
les corts,barri,2018,585,NA,5,3715,77,458,5844,127,507,10017,348,629,14841,979,1567
les corts,barri,2019,519,NA,6,3544,87,491,5672,123,583,9804,366,734,15167,1063,1785
les corts,barri,2020,465,NA,8,3383,81,520,5755,130,668,9635,376,837,15284,1101,1908
les corts,barri,2021,396,NA,8,3252,88,498,5598,133,690,9564,362,900,15177,1021,1912
les corts,barri,2022,347,NA,10,3151,79,432,5474,138,680,9567,364,911,15294,1101,1796
les corts,barri,2023,310,NA,9,3003,71,436,5587,157,792,9170,363,1120,15373,1213,2083
la maternitat i sant ramon,barri,1997,2166,NA,9,4680,6,20,3255,10,8,5152,43,60,4720,55,68
la maternitat i sant ramon,barri,1998,2079,NA,8,4673,9,24,3251,10,12,5185,42,77,4715,62,80
la maternitat i sant ramon,barri,1999,2013,NA,9,4596,11,30,3231,11,15,5153,43,89,4741,67,97
la maternitat i sant ramon,barri,2000,1941,NA,8,4539,10,35,3224,10,22,5151,51,108,4775,77,122
la maternitat i sant ramon,barri,2001,1829,NA,8,4434,8,58,3158,12,53,5065,52,169,4791,82,183
la maternitat i sant ramon,barri,2002,1683,NA,11,3776,10,93,3400,17,106,5971,86,288,5107,104,300
la maternitat i sant ramon,barri,2003,1629,NA,12,3706,14,155,3447,25,161,5882,113,365,5127,155,481
la maternitat i sant ramon,barri,2004,1547,NA,12,3610,14,210,3449,29,178,5657,118,404,5134,194,547
la maternitat i sant ramon,barri,2005,1487,NA,12,3501,23,228,3446,30,214,5394,118,446,5106,223,650
la maternitat i sant ramon,barri,2006,1429,NA,12,3368,22,290,3442,39,223,5175,137,471,5108,235,674
la maternitat i sant ramon,barri,2007,1364,NA,13,3225,41,237,3426,61,208,4967,195,403,5197,282,586
la maternitat i sant ramon,barri,2008,1387,NA,10,3128,43,245,3453,70,239,4811,192,406,5225,326,644
la maternitat i sant ramon,barri,2009,1333,NA,11,2981,39,245,3480,80,281,4760,216,423,5304,358,750
la maternitat i sant ramon,barri,2010,1223,NA,9,2849,34,252,3502,68,262,4854,201,420,5460,368,691
la maternitat i sant ramon,barri,2011,1109,NA,10,2769,17,262,3492,53,263,4916,178,409,5677,334,705
la maternitat i sant ramon,barri,2012,1009,NA,14,2708,21,264,3477,53,315,5185,170,403,5932,345,780
la maternitat i sant ramon,barri,2013,961,NA,15,2633,23,245,3420,58,321,5133,160,396,6028,354,765
la maternitat i sant ramon,barri,2014,910,NA,10,2568,24,230,3426,53,318,5066,152,376,6180,346,724
la maternitat i sant ramon,barri,2015,865,NA,10,2512,27,215,3465,57,264,5117,160,367,6410,344,751
la maternitat i sant ramon,barri,2016,544,NA,NA,2773,27,229,3376,50,246,5083,160,381,6592,348,766
la maternitat i sant ramon,barri,2017,501,NA,NA,2656,28,240,3348,53,278,5098,169,391,6628,361,882
la maternitat i sant ramon,barri,2018,470,NA,NA,2549,32,237,3311,57,279,5015,148,403,6764,411,925
la maternitat i sant ramon,barri,2019,426,NA,NA,2406,30,220,3242,67,300,4895,156,447,6865,477,994
la maternitat i sant ramon,barri,2020,386,NA,NA,2286,33,236,3282,72,329,4863,183,499,6913,507,1032
la maternitat i sant ramon,barri,2021,349,NA,NA,2212,28,228,3187,64,372,4825,182,534,6956,465,1127
la maternitat i sant ramon,barri,2022,311,NA,NA,2141,27,240,3132,71,448,4820,197,547,6953,499,1032
la maternitat i sant ramon,barri,2023,280,NA,NA,2074,19,254,3167,75,493,4683,201,638,7085,552,1245
pedralbes,barri,1997,367,5,12,1019,23,34,1104,19,12,2686,74,56,3563,102,63
pedralbes,barri,1998,363,5,15,1028,20,35,1095,21,18,2698,82,58,3621,113,86
pedralbes,barri,1999,340,5,16,1026,19,29,1077,22,17,2641,78,74,3594,128,96
pedralbes,barri,2000,328,5,16,1004,17,39,1064,24,16,2636,87,85,3603,145,125
pedralbes,barri,2001,319,5,14,985,17,46,1046,24,22,2574,92,93,3564,158,157
pedralbes,barri,2002,292,5,13,786,13,47,1046,39,37,2965,137,128,3716,182,198
pedralbes,barri,2003,290,5,14,738,14,58,1064,40,64,2947,158,153,3675,210,300
pedralbes,barri,2004,265,NA,14,714,19,71,1066,41,68,2825,152,164,3670,251,365
pedralbes,barri,2005,260,NA,10,696,21,71,1061,44,75,2726,164,173,3640,293,410
pedralbes,barri,2006,245,NA,12,657,19,81,1070,44,81,2628,179,201,3603,317,443
pedralbes,barri,2007,229,NA,6,623,21,84,1066,53,79,2533,184,163,3613,352,354
pedralbes,barri,2008,240,NA,5,624,33,97,1083,56,94,2471,197,146,3605,375,363
pedralbes,barri,2009,200,5,7,586,33,103,1082,55,116,2441,200,154,3636,415,372
pedralbes,barri,2010,179,7,5,561,27,95,1091,53,112,2465,174,151,3744,384,370
pedralbes,barri,2011,145,6,8,505,27,98,1102,38,106,2518,156,152,3795,392,394
pedralbes,barri,2012,117,6,7,481,29,97,1090,36,112,2644,151,150,3890,438,403
pedralbes,barri,2013,109,6,8,456,27,96,1093,36,106,2615,159,146,3960,453,396
pedralbes,barri,2014,105,5,9,435,30,79,1084,34,94,2549,151,150,4015,445,370
pedralbes,barri,2015,94,NA,7,398,34,75,1078,34,90,2543,139,140,4117,429,374
pedralbes,barri,2016,49,NA,NA,489,41,82,1011,33,90,2513,143,156,4168,448,399
pedralbes,barri,2017,43,NA,NA,458,38,75,1016,41,109,2469,140,194,4171,487,494
pedralbes,barri,2018,37,NA,NA,440,40,86,1015,44,111,2391,120,203,4197,465,555
pedralbes,barri,2019,32,NA,NA,423,38,102,995,55,117,2287,114,198,4194,501,564
pedralbes,barri,2020,28,NA,NA,402,41,103,1046,58,136,2274,128,189,4186,485,569
pedralbes,barri,2021,26,NA,NA,409,40,90,1005,52,148,2277,122,192,4198,429,642
pedralbes,barri,2022,20,NA,NA,388,41,72,974,50,127,2288,126,194,4271,447,590
pedralbes,barri,2023,20,NA,NA,384,37,80,1002,51,140,2213,128,258,4342,442,741
sarria-sant gervasi,districte,1997,6369,36,68,14501,98,148,13703,149,144,30976,610,409,39514,762,552
sarria-sant gervasi,districte,1998,6063,37,71,14225,99,176,13672,157,153,31290,664,481,40131,852,608
sarria-sant gervasi,districte,1999,5580,35,77,13879,111,214,13546,166,169,31243,677,533,40316,932,701
sarria-sant gervasi,districte,2000,5181,32,79,13406,113,245,13319,165,190,31134,689,599,40501,1015,858
sarria-sant gervasi,districte,2001,4842,33,77,12935,114,345,13088,163,243,30697,724,834,40533,1154,1232
sarria-sant gervasi,districte,2002,4507,39,122,10826,105,485,13367,241,556,35330,1026,1381,42624,1422,1706
sarria-sant gervasi,districte,2003,4287,35,107,10206,102,751,13458,284,896,34959,1145,1827,42596,1754,2524
sarria-sant gervasi,districte,2004,3928,32,108,9725,124,864,13411,300,1022,33611,1234,2060,42564,2128,3184
sarria-sant gervasi,districte,2005,3746,32,98,9330,131,1037,13560,341,1193,32732,1323,2308,42707,2500,3616
sarria-sant gervasi,districte,2006,3558,31,94,8963,144,1129,13572,406,1380,31853,1410,2470,43070,2804,3860
sarria-sant gervasi,districte,2007,3397,41,56,8595,192,1001,13508,514,1245,31244,1626,2011,43401,3315,3111
sarria-sant gervasi,districte,2008,3742,41,65,8378,218,1263,13571,578,1461,30629,1724,2066,43794,3698,3343
sarria-sant gervasi,districte,2009,3558,42,108,7916,247,1747,13576,580,1706,30216,1728,2230,44177,3946,3880
sarria-sant gervasi,districte,2010,3109,25,107,7390,219,1729,13825,486,1583,30986,1550,1970,45438,3901,3699
sarria-sant gervasi,districte,2011,2608,19,109,6991,216,1705,14055,382,1534,31418,1362,1897,46735,3702,3692
sarria-sant gervasi,districte,2012,2172,18,80,6652,200,1494,14312,384,1422,33702,1377,1919,48091,3859,3822
sarria-sant gervasi,districte,2013,1983,20,74,6289,193,1217,14201,395,1265,33436,1426,1858,49012,4106,3831
sarria-sant gervasi,districte,2014,1880,20,74,6046,216,1166,14047,398,1199,33149,1422,1862,49934,4248,3778
sarria-sant gervasi,districte,2015,1774,26,65,5879,199,1048,13911,381,1115,33159,1430,1862,51235,4162,3786
sarria-sant gervasi,districte,2016,1015,5,17,6775,248,1090,13098,356,1086,33215,1439,1773,52292,4296,3924
sarria-sant gervasi,districte,2017,896,6,22,6411,255,1045,13096,400,1194,33037,1437,1925,52788,4552,4540
sarria-sant gervasi,districte,2018,799,5,19,6054,264,963,13203,423,1278,32285,1396,1946,53667,4699,4720
sarria-sant gervasi,districte,2019,693,5,15,5703,303,991,12574,472,1357,31423,1518,2079,54269,5181,5131
sarria-sant gervasi,districte,2020,637,8,16,5352,297,996,13278,524,1485,30798,1533,2306,54977,5352,5495
sarria-sant gervasi,districte,2021,546,8,11,5310,279,1024,12989,498,1556,30669,1399,2493,54852,4928,6063
sarria-sant gervasi,districte,2022,492,8,9,5147,287,947,12664,535,1554,30216,1503,2285,55347,5302,6040
sarria-sant gervasi,districte,2023,431,NA,7,4986,288,1038,13076,540,1740,28625,1520,2670,55786,5652,7159
"vallvidrera, el tibidabo i les planes",barri,1997,371,NA,NA,478,NA,NA,328,7,NA,533,18,10,604,28,8
"vallvidrera, el tibidabo i les planes",barri,1998,361,NA,NA,475,NA,5,352,8,5,569,18,13,636,28,9
"vallvidrera, el tibidabo i les planes",barri,1999,237,NA,NA,467,6,6,361,8,5,589,18,15,646,38,8
"vallvidrera, el tibidabo i les planes",barri,2000,212,NA,NA,461,6,6,370,8,NA,623,23,19,673,41,11
"vallvidrera, el tibidabo i les planes",barri,2001,199,NA,NA,436,6,11,367,9,5,634,28,18,686,46,17
"vallvidrera, el tibidabo i les planes",barri,2002,216,NA,NA,425,NA,12,407,9,13,698,37,28,724,55,23
"vallvidrera, el tibidabo i les planes",barri,2003,201,NA,NA,416,NA,25,416,8,18,724,38,37,749,62,39
"vallvidrera, el tibidabo i les planes",barri,2004,181,NA,NA,408,NA,29,418,12,33,719,44,41,773,73,52
"vallvidrera, el tibidabo i les planes",barri,2005,175,NA,NA,384,6,34,435,16,31,746,42,43,800,80,55
"vallvidrera, el tibidabo i les planes",barri,2006,172,NA,NA,380,7,37,444,22,36,756,51,50,837,94,71
"vallvidrera, el tibidabo i les planes",barri,2007,189,NA,NA,380,11,23,454,28,26,756,51,34,866,115,56
"vallvidrera, el tibidabo i les planes",barri,2008,191,NA,NA,388,11,20,478,37,26,779,53,40,898,127,63
"vallvidrera, el tibidabo i les planes",barri,2009,203,NA,NA,388,12,25,511,34,31,828,52,42,935,128,68
"vallvidrera, el tibidabo i les planes",barri,2010,190,NA,NA,356,8,24,529,24,34,853,50,42,953,132,65
"vallvidrera, el tibidabo i les planes",barri,2011,170,NA,NA,339,8,22,529,22,34,874,48,33,1009,140,70
"vallvidrera, el tibidabo i les planes",barri,2012,146,NA,NA,339,7,24,548,24,33,937,52,45,1062,163,85
"vallvidrera, el tibidabo i les planes",barri,2013,128,NA,NA,306,8,26,541,24,33,953,54,40,1105,176,85
"vallvidrera, el tibidabo i les planes",barri,2014,123,NA,NA,292,7,25,549,28,31,944,62,40,1141,191,92
"vallvidrera, el tibidabo i les planes",barri,2015,122,NA,NA,284,6,17,536,29,28,955,66,38,1198,201,93
"vallvidrera, el tibidabo i les planes",barri,2016,72,NA,NA,338,13,19,520,26,25,965,63,38,1213,211,100
"vallvidrera, el tibidabo i les planes",barri,2017,62,NA,NA,321,16,19,546,28,27,977,63,47,1218,217,119
"vallvidrera, el tibidabo i les planes",barri,2018,51,NA,NA,313,16,21,547,33,29,954,73,38,1251,230,110
"vallvidrera, el tibidabo i les planes",barri,2019,46,NA,NA,304,19,23,526,38,34,941,71,42,1255,257,121
"vallvidrera, el tibidabo i les planes",barri,2020,42,NA,NA,300,21,21,574,36,31,920,67,48,1284,242,119
"vallvidrera, el tibidabo i les planes",barri,2021,35,NA,NA,306,17,19,574,35,35,931,64,51,1320,221,163
"vallvidrera, el tibidabo i les planes",barri,2022,33,NA,NA,312,26,22,567,37,39,938,65,52,1352,227,165
"vallvidrera, el tibidabo i les planes",barri,2023,35,NA,NA,315,25,32,578,37,41,909,58,57,1365,221,176
sarria,barri,1997,1262,7,6,2573,14,19,2373,21,20,4497,88,52,5989,136,71
sarria,barri,1998,1201,7,8,2526,13,26,2366,24,19,4582,101,62,6183,160,84
sarria,barri,1999,1128,7,13,2456,17,30,2351,29,23,4601,108,72,6266,189,117
sarria,barri,2000,1033,7,15,2368,17,38,2325,30,29,4555,114,95,6326,209,159
sarria,barri,2001,966,8,14,2302,17,53,2272,31,33,4482,127,120,6319,239,222
